,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1981,Legacy of Kain: Soul Reaver,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04
1982,Naruto: Clash of Ninja 2,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04
1983,WipEout Pure,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.22,1.04
1984,NHL Hitz 20-02,Sports,Midway Games,0.64,0.32,0.0,0.09000000000000001,1.04
1985,Marvel vs. Capcom 2: New Age of Heroes,Fighting,Capcom,0.4,0.27,0.28,0.08,1.04
1986,Kirby: Mass Attack,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04
1987,Bomberman 64,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04
1988,Karaoke Revolution Presents American Idol Encore,Misc,Konami Digital Entertainment,0.79,0.15,0.0,0.1,1.04
1989,Star Wars: Clone Wars,Shooter,LucasArts,0.65,0.3,0.0,0.06999999999999999,1.03
1990,Condemned 2: Bloodshot,Action,Sega,0.55,0.35,0.0,0.13,1.03
1991,Dynasty Warriors: Gundam 2,Action,Namco Bandai Games,0.2,0.13,0.65,0.05,1.03
1992,Alice in Wonderland,Adventure,Disney Interactive Studios,0.54,0.39,0.0,0.1,1.03
1993,Pinball Hall of Fame: The Williams Collection,Misc,System 3 Arcade Software,0.91,0.04,0.0,0.09,1.03
1994,Legends of Wrestling,Fighting,Acclaim Entertainment,0.5700000000000001,0.35,0.0,0.1,1.03
1995,Donkey Kong Land III,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03
1996,Full Spectrum Warrior,Strategy,THQ,0.6900000000000001,0.27,0.0,0.07,1.03
1997,Monster Jam: Urban Assault,Racing,Activision,0.9,0.05,0.0,0.09,1.03
1998,Burnout Legends,Racing,Electronic Arts,0.85,0.08,0.0,0.09999999999999999,1.03
1999,MX vs. ATV: Alive,Racing,THQ,0.61,0.29000000000000004,0.0,0.12000000000000001,1.03
2000,Inazuma Eleven 3,Role-Playing,Level 5,0.0,0.08,0.93,0.01,1.02
2001,The Lost World: Jurassic Park,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02
2002,Naruto: Clash of Ninja Revolution,Fighting,Tomy Corporation,0.45,0.46,0.0,0.11,1.02
2003,Final Fight 2,Action,Capcom,0.39,0.12,0.49,0.02,1.02
2004,Ace Combat 6: Fires of Liberation,Simulation,Atari,0.69,0.04,0.22,0.06,1.02
2005,NHL 2K10,Sports,Take-Two Interactive,0.74,0.18000000000000002,0.0,0.1,1.02
2006,Tales of Graces f,Role-Playing,Namco Bandai Games,0.28,0.21,0.45,0.08,1.02
2007,Pong: The Next Level,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01
2008,Oshare Majo Love and Berry: DS Collection,Misc,Sega,0.0,0.0,1.01,0.0,1.01
2009,NFL Blitz 2001,Sports,Midway Games,0.67,0.29000000000000004,0.0,0.04,1.01
2010,Championship Manager 3,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01
2011,Monster Rancher,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
2012,Bayonetta 2,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
2013,X-Men: The Official Game,Action,Activision,0.71,0.24,0.0,0.07,1.01
2014,Ninja Gaiden II,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01
2015,Gauntlet Legends,Action,Midway Games,0.69,0.28,0.0,0.04,1.01
2016,The Legend of Spyro: The Eternal Night,Platform,Vivendi Games,0.71,0.21,0.0,0.1,1.01
2017,Fantastic 4,Action,Activision,0.8,0.12,0.0,0.09000000000000001,1.01
2018,God of War: Ghost of Sparta,Action,Sony Computer Entertainment,0.41,0.36,0.03,0.21,1.01
2019,The Adventures of Tintin: The Game,Action,Ubisoft,0.31,0.56,0.0,0.14,1.01
2020,Pirates of the Caribbean: Dead Man's Chest,Adventure,Disney Interactive Studios,0.81,0.13999999999999999,0.0,0.05,1.01
2021,NHL 09,Sports,Electronic Arts,0.81,0.11,0.0,0.09,1.01
2022,NBA Live 97,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0
2023,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,Misc,Sammy Corporation,0.0,0.0,1.0,0.0,1.0
2024,NERF N-Strike Elite,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0
2025,Haze,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1.0
2026,Mortal Kombat: Shaolin Monks,Action,Midway Games,0.8099999999999999,0.09000000000000001,0.0,0.09999999999999999,1.0
2027,Excitebike 64,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0
2028,Road & Track Presents: The Need for Speed,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0
2029,Dynasty Warriors 3: Xtreme Legends,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0
2030,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0
2031,MLB 16: The Show,Action,Sony Computer Entertainment,0.81,0.0,0.0,0.19,1.0
2032,Game & Watch Gallery,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0
2033,NES Open Tournament Golf,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0
2034,1942,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
2035,Surf's Up,Sports,Ubisoft,0.7000000000000001,0.16999999999999998,0.0,0.11,1.0
2036,Jampack Winter 2000,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0
2037,Ms. Pac-Man Maze Madness,Puzzle,Zoo Digital Publishing,0.65,0.32,0.0,0.04,1.0
2038,Killzone: Mercenary,Shooter,Sony Computer Entertainment Europe,0.25,0.49,0.04,0.22,1.0
2039,Zoo Tycoon DS,Strategy,THQ,0.86,0.04,0.01,0.08,1.0
2040,Jeremy McGrath Supercross 2000,Racing,Acclaim Entertainment,0.63,0.33,0.0,0.05,1.0
2041,NFL Fever 2002,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99
2042,Rampage: Total Destruction,Action,Midway Games,0.6799999999999999,0.23000000000000004,0.0,0.08,0.99
2043,Midnight Club: LA Remix,Racing,Take-Two Interactive,0.52,0.28,0.0,0.19,0.99
2044,CSI: Hard Evidence,Adventure,Ubisoft,0.43,0.45,0.0,0.11,0.99
2045,Nicktoons: Attack of the Toybots,Platform,THQ,0.68,0.19,0.0,0.09,0.99
2046,Phoenix Wright: Ace Attorney,Adventure,Capcom,0.49,0.07,0.39,0.05,0.99
2047,Batman: Vengeance,Adventure,Ubisoft,0.6000000000000001,0.31,0.0,0.08,0.99
2048,The Bouncer,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99
2049,Ace Combat X: Skies of Deception,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99
2050,Littlest Pet Shop: Winter,Simulation,Electronic Arts,0.59,0.31,0.0,0.1,0.99
2051,Oddworld: Abe's Exoddus,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99
2052,The BIGS 2,Sports,Take-Two Interactive,0.81,0.1,0.0,0.09,0.98
2053,Robotech: Battlecry,Shooter,TDK Mediactive,0.59,0.31,0.0,0.09,0.98
2054,Speed Racer: The Videogame,Racing,Warner Bros. Interactive Entertainment,0.75,0.15000000000000002,0.0,0.09,0.98
2055,Suikoden III,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98
2056,Tetris 2,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98
2057,AMF Bowling Pinbusters!,Sports,Bethesda Softworks,0.9099999999999999,0.0,0.0,0.07,0.98
2058,Tamagotchi Connection: Corner Shop 2,Simulation,Namco Bandai Games,0.09,0.02,0.86,0.01,0.98
2059,Air-Sea Battle,Shooter,Atari,0.91,0.06,0.0,0.01,0.98
2060,Kingdom Hearts Re:coded,Role-Playing,Square Enix,0.56,0.1,0.27,0.05,0.98
2061,Mario Party Advance,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98
2062,NHL 07,Sports,Electronic Arts,0.82,0.060000000000000005,0.0,0.11000000000000001,0.98
2063,The Black Eyed Peas Experience,Misc,Ubisoft,0.5900000000000001,0.30000000000000004,0.0,0.09,0.98
2064,World Series of Poker,Misc,Activision,0.81,0.07,0.0,0.09,0.98
2065,Scribblenauts: Unlimited,Action,Warner Bros. Interactive Entertainment,0.81,0.09999999999999999,0.0,0.07,0.98
2066,Mafia,Action,Illusion Softworks,0.51,0.36000000000000004,0.0,0.11,0.98
2067,Ty the Tasmanian Tiger 2: Bush Rescue,Platform,Electronic Arts,0.58,0.29000000000000004,0.0,0.08,0.9700000000000001
2068,Dynasty Warriors: Strikeforce,Action,Ubisoft Annecy,0.27,0.16999999999999998,0.47000000000000003,0.07,0.97
2069,Fire Emblem,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
2070,Yakuza 4,Action,Sega,0.15,0.14,0.63,0.05,0.97
2071,Tales of Zestiria,Role-Playing,Namco Bandai Games,0.21000000000000002,0.24,0.44,0.09,0.97
2072,Donkey Kong Junior,Platform,Atari,0.9,0.05,0.0,0.01,0.97
2073,de Blob,Platform,THQ,0.5,0.37,0.0,0.1,0.97
2074,Club Penguin: Game Day!,Sports,Disney Interactive Studios,0.56,0.33,0.0,0.08,0.97
2075,Cabela's Deer Hunt: 2004 Season,Sports,Activision Value,0.53,0.33999999999999997,0.0,0.11,0.97
2076,Knockout Kings 2001,Fighting,Electronic Arts,0.51,0.36,0.0,0.1,0.97
2077,MTV Celebrity Deathmatch,Fighting,Gotham Games,0.53,0.33999999999999997,0.0,0.11,0.97
2078,Guitar Hero: Van Halen,Misc,Activision,0.49000000000000005,0.35,0.0,0.11,0.97
2079,Def Jam Rapstar,Misc,Konami Digital Entertainment,0.81,0.1,0.0,0.07,0.97
2080,F1 2013,Racing,Codemasters,0.02,0.73,0.03,0.18,0.96
2081,Star Soldier,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
2082,NASCAR Heat 2002,Racing,Infogrames,0.5599999999999999,0.31,0.0,0.09,0.96
2083,Tokimeki Memorial: Forever with You,Simulation,Konami Digital Entertainment,0.0,0.0,0.93,0.04,0.96
2084,Dragon Quest Monsters: Terry's Wonderland 3D,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2085,Kill.Switch,Shooter,Sony Computer Entertainment,0.54,0.33,0.0,0.09999999999999999,0.96
2086,Jampack Summer '99,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96
2087,PilotWings Resort,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96
2088,Rayman 2: The Great Escape,Platform,Ubisoft,0.5800000000000001,0.33999999999999997,0.0,0.04,0.96
2089,Gangs of London,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96
2090,My Weight Loss Coach,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.96
2091,FIFA Soccer 2002,Sports,Electronic Arts,0.53,0.33999999999999997,0.0,0.09,0.96
2092,Boogie,Misc,Electronic Arts,0.77,0.1,0.0,0.08,0.96
2093,MotoGP 08,Racing,Capcom,0.19,0.44,0.0,0.32999999999999996,0.96
2094,Dance Dance Revolution 2nd ReMIX,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96
2095,One Piece: Pirate Warriors 3,Action,Namco Bandai Games,0.08,0.38,0.42000000000000004,0.08,0.96
2096,Dark Cloud 2,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
2097,Mega Man Star Force Dragon / Leo / Pegasus,Action,Capcom,0.39,0.0,0.53,0.03,0.96
2098,Doom,Shooter,Infogrames,0.55,0.33999999999999997,0.0,0.05,0.9500000000000001
2099,Legends of WrestleMania,Fighting,THQ,0.5,0.33,0.0,0.11000000000000001,0.9500000000000001
2100,F1 2015,Racing,Codemasters,0.16999999999999998,0.63,0.03,0.11,0.9500000000000001
2101,Hot Wheels: Beat That!,Racing,Activision,0.7,0.15,0.0,0.09,0.9500000000000001
2102,Dark Sector,Shooter,D3Publisher,0.45,0.36,0.02,0.12000000000000001,0.95
2103,Kessen,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95
2104,Sengoku Basara: Samurai Heroes,Action,Capcom,0.25,0.06,0.6000000000000001,0.04,0.95
2105,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95
2106,NCAA Football 2000,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95
2107,Wild ARMs,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
2108,Just Dance Kids 2,Misc,Ubisoft,0.67,0.19,0.0,0.09,0.95
2109,BlazBlue: Calamity Trigger,Fighting,PQube,0.57,0.19,0.1,0.09,0.95
2110,Wii Play: Motion,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95
2111,Red Faction: Armageddon,Shooter,THQ,0.43,0.35000000000000003,0.04,0.12000000000000001,0.9400000000000001
2112,Barbie Horse Adventures: Riding Camp,Sports,Activision,0.78,0.07,0.0,0.07,0.9400000000000001
2113,WipeOut 3 The Game,Action,Activision,0.88,0.0,0.0,0.06,0.9400000000000001
2114,Baldur's Gate: Dark Alliance II,Role-Playing,Interplay,0.53,0.32,0.0,0.09999999999999999,0.9400000000000001
2115,How to Train Your Dragon 2,Adventure,Little Orbit,0.21000000000000002,0.65,0.0,0.09,0.9400000000000001
2116,Plants vs. Zombies: Garden Warfare 2,Shooter,Electronic Arts,0.43000000000000005,0.39999999999999997,0.0,0.11000000000000001,0.9400000000000001
2117,Are You Smarter than a 5th Grader? Make the Grade,Misc,THQ,0.87,0.0,0.0,0.07,0.9400000000000001
2118,Mario Tennis Open,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94
2119,The Tomb Raider Trilogy,Action,Square Enix,0.27,0.5,0.0,0.17,0.94
2120,Hot Shots Golf Fore!,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94
2121,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,Misc,GT Interactive,0.52,0.36,0.0,0.06,0.94
2122,Killzone,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94
2123,Star Wars: Jedi Starfighter,Simulation,Activision,0.59,0.26,0.0,0.08,0.94
2124,Star Fox 64 3D,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94
2125,Bully,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94
2126,SaGa Frontier 2,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
2127,Mega Man 8 Anniversary Collector's Edition,Platform,Capcom,0.44,0.3,0.15,0.06,0.94
2128,Tom Clancy's HAWX 2,Action,Ubisoft,0.52,0.27999999999999997,0.04,0.1,0.94
2129,Charlie and the Chocolate Factory,Adventure,Global Star,0.61,0.27,0.0,0.05,0.94
2130,The Legend of Zelda: Twilight Princess HD,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
2131,Phantasy Star Portable,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94
2132,MLB 2000,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94
2133,Castlevania: Lament of Innocence,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94
2134,Castlevania II: Simon's Quest,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93
2135,SnoCross Championship Racing,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93
2136,Pokken Tournament,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
2137,Marvel Super Hero Squad: The Infinity Gauntlet,Action,THQ,0.7,0.14,0.0,0.08,0.93
2138,EA Sports Grand Slam Tennis,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93
2139,Mega Man 4,Platform,Capcom,0.51,0.09,0.32,0.01,0.93
2140,Dungeon Siege III,Role-Playing,Square Enix,0.46,0.34,0.04,0.11,0.93
2141,Mystery Dungeon: Shiren the Wanderer,Role-Playing,Sega,0.18,0.0,0.73,0.02,0.93
2142,Bentley's Hackpack,Misc,Unknown,0.67,0.25,0.0,0.02,0.93
2143,White Knight Chronicles: International Edition,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93
2144,Colin McRae Rally 2.0,Racing,Codemasters,0.04,0.81,0.02,0.07,0.93
2145,Crash City Mayhem,Racing,THQ,0.67,0.25,0.0,0.02,0.93
2146,Nickelodeon Fit,Sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.93
2147,Build-A-Bear Workshop,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93
2148,Buzz! Quiz World,Misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.93
2149,NieR,Role-Playing,Square Enix,0.30000000000000004,0.30000000000000004,0.24000000000000002,0.09000000000000001,0.9299999999999999
2150,Blue Dragon,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
2151,ESPN NFL Football,Sports,Sega,0.54,0.29,0.0,0.08,0.92
2152,The Incredible Hulk: Ultimate Destruction,Action,Vivendi Games,0.54,0.28,0.0,0.08,0.92
2153,Cabela's Outdoor Adventures (2009),Sports,Activision Value,0.8,0.05,0.0,0.08,0.92
2154,Disney Magical World,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92
2155,Tales of Destiny 2,Role-Playing,Namco Bandai Games,0.0,0.0,0.92,0.0,0.92
2156,One Piece: Unlimited World Red,Action,Namco Bandai Games,0.2,0.24,0.4,0.09,0.92
2157,Tobal No.1,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
2158,Balloon Fight,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
2159,NHL 98,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92
2160,Lost Odyssey,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92
2161,Space Jam,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92
2162,Wipeout: In The Zone,Misc,Activision,0.87,0.0,0.0,0.05,0.92
2163,Jimmy Neutron: Boy Genius,Platform,THQ,0.5700000000000001,0.29,0.0,0.060000000000000005,0.9199999999999999
2164,AC/DC LIVE: Rock Band Track Pack,Misc,MTV Games,0.75,0.06999999999999999,0.0,0.08,0.91
2165,Super Momotarou Dentetsu III,Simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91
2166,From Russia With Love,Action,Electronic Arts,0.73,0.1,0.0,0.09,0.91
2167,Dragon Ball Z: Sagas,Fighting,Atari,0.72,0.1,0.0,0.08,0.91
2168,Family Feud: 2010 Edition,Misc,Ubisoft,0.84,0.0,0.0,0.06,0.91
2169,Yakuza,Action,Sega,0.03,0.02,0.85,0.01,0.91
2170,Tokyo Xtreme Racer 3,Racing,Genki,0.35,0.27,0.21,0.09,0.91
2171,Harvest Moon 3D: A New Beginning,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91
2172,Dragon's Crown,Role-Playing,Nippon Ichi Software,0.41000000000000003,0.12000000000000001,0.29000000000000004,0.1,0.91
2173,NHL 06,Sports,Electronic Arts,0.73,0.09000000000000001,0.0,0.09,0.9099999999999999
2174,XIII,Shooter,Ubisoft,0.51,0.32,0.0,0.08,0.9099999999999999
2175,Resistance: Retribution,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9
2176,NASCAR 06: Total Team Control,Racing,Electronic Arts,0.73,0.08,0.0,0.09999999999999999,0.9
2177,SOCOM 4: U.S. Navy SEALs,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9
2178,Hot Shots Tennis,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9
2179,Samba De Amigo,Misc,Sega,0.42,0.37,0.01,0.1,0.9
2180,Mini-Yonku Shining Scorpion: Let's & Go!!,Racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9
2181,TouchMaster 2,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.9
2182,Buzz! Quiz TV,Misc,Sony Computer Entertainment,0.28,0.48,0.0,0.14,0.9
2183,3Xtreme,Action,989 Studios,0.5,0.34,0.0,0.06,0.9
2184,Shrek: Forever After,Platform,Activision,0.63,0.21,0.0,0.09,0.9
2185,MLB 2005,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9
2186,Tiger Woods PGA Tour 2002,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9
2187,We Ski & Snowboard,Sports,Atari,0.38,0.29,0.15,0.08,0.9
2188,FIFA Soccer 09 All-Play,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9
2189,Destruction Derby,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9
2190,The Biggest Loser: Ultimate Workout,Sports,THQ,0.73,0.1,0.0,0.06,0.9
2191,Viewtiful Joe,Action,Capcom,0.52,0.21000000000000002,0.12,0.06,0.9
2192,LittleBigPlanet Karting,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9
2193,Fossil Fighters,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.9
2194,F.E.A.R.,Shooter,Vivendi Games,0.46,0.30000000000000004,0.0,0.13,0.8900000000000001
2195,Killzone: Liberation,Shooter,Sony Computer Entertainment,0.44,0.28,0.0,0.18,0.89
2196,Wii Fit U,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89
2197,Dissidia 012: Duodecim Final Fantasy,Fighting,Square Enix,0.21,0.13,0.46,0.08,0.89
2198,Nightmare Creatures,Action,Sony Computer Entertainment,0.5599999999999999,0.29,0.0,0.04,0.89
2199,Monster 4X4: World Circuit,Racing,Ubisoft,0.81,0.0,0.01,0.07,0.89
2200,SingStar Anthems,Misc,Sony Computer Entertainment,0.0,0.68,0.0,0.2,0.89
2201,Terminator Salvation,Shooter,Warner Bros. Interactive Entertainment,0.26,0.47,0.01,0.15,0.89
2202,The Jak and Daxter Collection,Platform,Sony Computer Entertainment,0.6,0.19,0.0,0.1,0.89
2203,MLB 2001,Sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.89
2204,Fire Emblem: The Sacred Stones,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89
2205,The Fairly Odd Parents: Shadow Showdown,Platform,THQ,0.5800000000000001,0.26,0.0,0.06,0.89
2206,Sonic Chronicles: The Dark Brotherhood,Role-Playing,Sega,0.51,0.29,0.01,0.09,0.89
2207,Cabela's Big Game Hunter 2012,Sports,Activision,0.75,0.07,0.0,0.07,0.89
2208,Ace Combat 2,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
2209,Cabela's Big Game Hunter (2008),Sports,Activision,0.74,0.08,0.0,0.08,0.89
2210,Castlevania: Circle of the Moon,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89
2211,Classic NES Series: The Legend of Zelda,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89
2212,Pokemon Card GB2: Here Comes Team GR!,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89
2213,Seiken Densetsu 3,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0,0.89
2214,Sonic Lost World,Platform,Sega,0.48,0.27,0.08,0.06,0.89
2215,Cooking Mama: World Kitchen,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88
2216,Metal Gear Ac!d,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.88
2217,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Action,THQ,0.55,0.27,0.0,0.060000000000000005,0.88
2218,Phantasy Star Portable 2,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.88
2219,Marvel vs. Capcom: Clash of Super Heroes,Fighting,Capcom,0.43,0.3,0.1,0.05,0.88
2220,Freedom Fighters,Shooter,Electronic Arts,0.52,0.28,0.0,0.08,0.88
2221,Endless Ocean: Blue World,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.88
2222,Virtua Tennis 4,Sports,Sega,0.25,0.46,0.04,0.13999999999999999,0.88
2223,Buzz! The Mega Quiz,Misc,Sony Computer Entertainment,0.32,0.06,0.0,0.5,0.88
2224,Hot Shots Golf: World Invitational,Sports,Sony Computer Entertainment,0.19,0.11,0.53,0.06,0.88
2225,Star Wars: Rebel Assault II - The Hidden Empire,Shooter,CTO SpA,0.49,0.33,0.0,0.06,0.88
2226,Ninja Gaiden 3,Action,Tecmo Koei,0.5,0.18,0.14,0.09,0.88
2227,Harvest Moon: The Tale of Two Towns,Simulation,Natsume,0.55,0.06,0.22,0.05,0.8799999999999999
2228,Cabela's Big Game Hunter 2005 Adventures,Sports,Activision,0.5,0.27,0.0,0.08,0.8700000000000001
2229,Backyard NFL Football,Sports,Infogrames,0.64,0.2,0.0,0.02,0.8700000000000001
2230,Vagrant Story,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
2231,Need for Speed: V-Rally,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87
2232,Persona 4: Arena,Fighting,Atlus,0.38,0.13999999999999999,0.27,0.08,0.87
2233,Alpha Protocol,Role-Playing,Sega,0.42000000000000004,0.33999999999999997,0.0,0.12000000000000001,0.87
2234,Tales of Xillia 2,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07,0.87
2235,Gold's Gym: Dance Workout,Sports,Ubisoft,0.71,0.11,0.0,0.06,0.87
2236,NHL 2000,Sports,Electronic Arts,0.48,0.33,0.0,0.06,0.87
2237,Derby Stallion II,Sports,ASCII Entertainment,0.0,0.0,0.87,0.0,0.87
2238,The Walking Dead: Season Two,Adventure,Telltale Games,0.41000000000000003,0.3,0.02,0.13,0.87
2239,Wizards of Waverly Place,Misc,Disney Interactive Studios,0.59,0.2,0.0,0.08,0.87
2240,Dragon Age Origins: Awakening,Role-Playing,Electronic Arts,0.58,0.2,0.0,0.08,0.87
2241,The House of the Dead: Overkill,Shooter,Sega,0.46,0.31,0.02,0.09,0.87
2242,Buzz! Master Quiz,Misc,Sony Computer Entertainment,0.2,0.44,0.0,0.23,0.87
2243,Gex,Platform,Crystal Dynamics,0.49,0.33,0.0,0.06,0.87
2244,Kingdom Hearts Re: Chain of Memories,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.87
2245,SingStar '90s,Misc,Sony Computer Entertainment,0.1,0.59,0.0,0.18,0.87
2246,Lemmings,Puzzle,Sony Computer Entertainment,0.12,0.52,0.0,0.23,0.87
2247,Enduro,Misc,Quelle,0.81,0.05,0.0,0.01,0.87
2248,NFL GameDay '97,Sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.87
2249,Tom Clancy's Ghost Recon: Island Thunder,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87
2250,Ninja Gaiden Sigma 2,Action,Ubisoft Annecy,0.52,0.16,0.09,0.1,0.87
2251,Street Fighter V,Fighting,Capcom,0.35,0.31,0.08,0.13,0.87
2252,Nicktoons: Unite!,Adventure,THQ,0.7100000000000001,0.08,0.0,0.08,0.87
2253,Muramasa: The Demon Blade,Role-Playing,Rising Star Games,0.46,0.13,0.21000000000000002,0.07,0.87
2254,Spec Ops: Ranger Elite,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87
2255,Crimson Skies: High Road to Revenge,Simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.87
2256,MLB 11: The Show,Sports,Sony Computer Entertainment,0.75,0.05,0.0,0.07,0.87
2257,Thrillville,Strategy,Atari,0.73,0.02,0.0,0.11,0.8600000000000001
2258,The Darkness II,Shooter,Take-Two Interactive,0.48,0.29000000000000004,0.0,0.09,0.8600000000000001
2259,The Legendary Starfy,Platform,Nintendo,0.61,0.0,0.2,0.05,0.86
2260,The World Ends With You,Role-Playing,Square Enix,0.54,0.06,0.21,0.05,0.86
